Genes,R1_6,R1_21,R2_12,R2_17,R1_9,R2_3,R1_11,R1_17,R1_1,R2_9,R1_15,R1_22,R2_10,R1_16,R2_14,R1_20,R1_18,R1_19,R1_4,R1_2,R1_10,R1_12,R2_16,R2_13,R1_5,R1_7,R2_15,R2_18,R2_5,R2_1,R1_14,R2_2,R2_6,R1_3,R2_7,R2_8,R1_24,R1_8,R2_4,R1_23,R1_13,R2_11
MEG_293|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,236,144,25,0,357,298,92,142,136,0,160,294,28,371,0,561,107,0,65,153,453,250,6,13,503,171,0,0,314,1213,382,647,95,33,25,0,109,110,220,324,33,18
MEG_7628|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATE,0,51,15,221,0,74,42,62,50,19,0,52,69,71,0,79,30,0,28,39,0,0,0,40,0,118,0,115,82,58,80,104,0,0,16,0,0,0,0,0,0,72
MEG_2689|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,64,352,5425,0,162,286,700,335,210,3033,518,252,411,926,161,855,266,0,82,95,318,375,60,239,624,146,187,0,83,451,364,538,0,0,746,39441,91,96,91,73,94,247
MEG_7024|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,576,580,2018,276,636,959,742,854,574,912,621,612,379,1212,537,1383,237,0,136,407,453,710,725,782,287,447,378,572,804,1123,840,986,0,171,544,309,191,296,310,408,132,803
MEG_5856|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|QACR,14406,1245,4,201,805,4728,43,1735,3070,0,458,73934,0,2021,0,561,40101,0,56676,19723,21146,309,0,16,116298,35989,0,1311,3269,41705,26050,62898,46767,64709,0,52,45330,18816,292777,184399,60284,0
MEG_7415|Drugs|Glycopeptides|VanB-type_resistance_protein|VANHB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_914|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
MEG_5978|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,0,0,0,0,0,0
MEG_1395|Drugs|betalactams|Class_A_betalactamases|BLAZ,129,138,13,0,51,0,0,0,225,0,0,745,177,101,0,0,104,0,168,122,175,0,13,36,0,120,15,88,42,67,70,1991,0,16,0,0,116,0,593,57,23,0
MEG_391|Drugs|betalactams|Class_C_betalactamases|ACC,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2452|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSR,355,1031,14979,221,382,809,1964,931,696,8991,1496,839,924,2192,459,2720,635,0,276,335,1188,1187,150,603,1099,414,647,414,535,1111,891,1694,0,0,1439,131106,365,353,110,258,383,662
MEG_7236|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,1818,8976,3043,53643,3964,9377,9215,16098,5067,7448,7458,6894,4657,9076,5900,14528,7292,0,1161,3129,4124,6831,2009,11456,2941,4539,3232,25140,8709,5204,8270,5730,1679,394,7244,9031,1454,1345,1019,1415,1978,7119
MEG_83|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,183,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5
MEG_3930|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7247|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETZ,7087,8669,22749,20238,16810,31532,11280,42668,10276,12685,12120,16314,23349,25369,142049,22262,7142,0,1917,11549,5872,17119,105191,80221,3556,18002,27195,25327,17588,14773,25378,11526,2163,584,26074,9751,4634,3843,2978,4464,3195,83441
