Genes,R1_8,R2_2,R2_3,R2_17,R2_11,R2_4,R2_13,R2_16,R1_19,R1_10,R1_13,R2_1,R1_22,R1_4,R1_20,R2_9,R1_14,R2_6,R1_1,R2_14,R1_3,R2_8,R1_6,R1_17,R1_7,R1_5,R2_15,R2_5,R2_18,R1_24,R1_21,R1_16,R2_10,R1_2,R1_11,R2_7,R1_23,R1_12,R1_18,R2_12,R1_9,R1_15
gene:vir:6598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:10465,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,1,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:171872,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:96268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:172455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:184737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:119000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:17026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:114160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:24414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
gene:vir:1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
gene:plasmid:155988,0,0,0,0,0,0,0,0,0,59,0,29,0,12,0,0,0,0,0,0,0,0,9,0,0,23,0,0,0,0,0,20,0,11,0,0,0,0,0,0,0,0
gene:plasmid:17132,0,0,44,0,0,0,44,25,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,89,0,75,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
gene:vir:4523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
gene:proph:184713,0,183,104,205,72,30,590,79,0,143,44,79,178,0,197,100,112,0,82,336,0,97,0,82,68,98,53,93,0,0,145,64,108,112,264,58,0,217,186,100,53,125
gene:plasmid:135602,11,19,33,77,86,9,152,0,0,7,14,18,31,4,62,47,40,0,20,102,0,185,12,35,33,10,39,17,26,7,38,24,25,34,54,19,13,72,26,40,12,38
gene:plasmid:25337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
gene:vir:6522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
gene:plasmid:111542,166,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,176,0,0,0,0
gene:plasmid:154025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0
gene:plasmid:83181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:139621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0
gene:plasmid:153975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
gene:vir:103522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:29780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
gene:proph:163172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:14539,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,31,0,0
gene:plasmid:24433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
gene:plasmid:151538,710,223,42,0,0,26107,102,63,0,369,936,313,468,1123,54,0,592,318,71,0,868,17,115,0,446,613,91,55,228,977,0,27,0,100,0,0,4035,19,2429,0,48,0
gene:plasmid:93376,40,0,95,57,408,0,453,492,0,11,196,0,383,0,56,77,63,0,245,1194,101,0,0,65,39,0,124,37,72,0,236,0,205,95,25,80,387,65,22,328,33,0
gene:plasmid:19292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0
gene:plasmid:87392,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,11,0,0,0
gene:proph:169616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
gene:plasmid:141248,0,0,0,0,0,0,0,0,0,0,0,0,0,6,42,26,0,24,0,0,0,456,0,0,0,24,0,0,0,12,14,0,0,0,28,0,6,0,0,0,0,24
gene:plasmid:97775,343,1871,4193,133,488,2665,604,658,0,308,40,1058,894,564,807,201,1427,1506,580,325,0,344,3615,1567,15546,641,1743,805,135,736,473,507,129,479,505,310,67,149,611,531,979,249
gene:plasmid:142012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
gene:plasmid:114177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,39,0,0
gene:plasmid:88437,0,47,0,0,0,0,0,0,0,0,0,0,0,0,49,117,0,0,0,0,0,2676,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,239,0,0
gene:plasmid:17103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:166951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:14645,91,82,99,19,134,43,148,64,0,93,1039,36,1662,67,32,0,248,0,118,139,531,0,77,61,156,32,37,28,42,298,113,17,6,448,33,0,3273,84,14,10,86,0
gene:plasmid:133174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,2357,0,0,0,0,0,0,0,0,0,83,0,0,90,0,0,0,0,403,0,47
IncFIB(Mar)_1_pNDM-Mar_JN420336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0
gene:plasmid:14717,0,0,22,0,27,0,30,0,0,0,0,0,0,0,15,0,0,0,0,30,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,20,0,0,0,0
