Species,R2_9_S33_profile,R2_8_S32_profile,R2_7_S31_profile,R2_6_S30_profile,R2_5_S29_profile,R2_4_S28_profile,R2_3_S27_profile,R2_2_S26_profile,R2_1_S25_profile,R2_18_S42_profile,R2_17_S41_profile,R2_16_S40_profile,R2_15_S39_profile,R2_14_S38_profile,R2_13_S37_profile,R2_12_S36_profile,R2_11_S35_profile,R2_10_S34_profile,R1_9_S9_profile,R1_8_S8_profile,R1_7_S7_profile,R1_6_S6_profile,R1_5_S5_profile,R1_4_S4_profile,R1_3_S3_profile,R1_2_S2_profile,R1_24_S24_profile,R1_23_S23_profile,R1_22_S22_profile,R1_21_S21_profile,R1_20_S20_profile,R1_1_S1_profile,R1_19_S19_profile,R1_18_S18_profile,R1_17_S17_profile,R1_16_S16_profile,R1_15_S15_profile,R1_14_S14_profile,R1_13_S13_profile,R1_12_S12_profile,R1_11_S11_profile,R1_10_S10_profile
Methanobrevibacter_smithii,0.14951,0.02237,0.52185,0.23463,0.03606,0.0117,0.33781,0.11001,0.01231,0.01988,0.97653,0.05913,0.04859,0.06991,0.08411,0.04609,0.08404,0,0.01774,0.06638,0.25639,0.10087,0.00631,0.00088,0,0.0568,0.00121,0,0.05114,0.01907,0.22821,0.05232,0,0.06026,0.27988,0.11152,0.0821,0.07371,0,0.09823,0.19779,0
Bifidobacterium_thermophilum,0.27194,0.66864,0.07667,0,0.00871,0.00019,0.27927,0.11333,0.03619,0.02904,0.31969,0.02743,0.00974,0.09969,0.09316,0.04354,0.31126,0.15589,0.01727,0.00198,0.04485,0.01111,0.00066,0.00902,0,0.05242,0.00924,0.00321,0.16838,0.22838,1.95092,0.11621,0,0.12013,0.83195,1.02921,0.70983,0.19013,0.07879,1.49674,1.2684,0
Corynebacterium_amycolatum,0.08394,0.00906,0,0,0.02396,0,0.58354,0.01082,0.34218,0,0.05901,0.15984,0.05438,0.43345,0.13174,0,0.09955,0.02515,0.04005,0.00164,0.24806,0.01997,0.03484,0,0,0.38881,0,0.0093,0.29272,0.03792,0.14947,0.08631,0,0.01289,0.55644,0.07681,0.06405,0.04128,0,0.19834,0.08133,0.04303
Corynebacterium_glutamicum,0.06066,0.01213,0.06865,0,0.01722,0,0.53934,0.17942,0.02042,0,0.53915,0.14234,0.1731,0.40842,0.09676,1.08219,0.36348,0.05043,0.01758,0.04938,0.11521,0.23552,0,0,0,0.19211,0.02353,0.02904,0.06526,0.00764,0.45112,0.02958,0,0.04336,0.76048,0.66573,0.5003,0.19627,0.04546,0.66382,0.22857,0
Corynebacterium_pollutisoli,0.08332,0.02615,0.02313,0,0.02078,0,1.41814,0,0,0.00857,0.08477,1.83215,0.4336,1.2014,0.51984,0.8277,1.29696,1.04808,0.05485,0.02898,0.13939,0.02711,0,0,0,0.08358,0,0,0.01078,0.02145,0.30085,0.04525,0,0.05025,1.15845,0.18438,0.17348,0.16104,0.00235,0.34257,0.21342,0
Corynebacterium_stationis,0.11567,0.00441,0,0,0.02028,0.00375,0.57684,0.1053,0.05833,0,0.4468,0.52024,0.17428,0.36428,0.24221,0.11252,0.81954,0.06478,0.02874,0.02947,0.09941,0.73223,0,0,0,0.27016,0.00314,0.02254,0.08335,0.01837,0.3381,0.03516,0,0.04656,0.64869,0.27912,0.27596,0.08247,0.02099,0.64163,0.26333,0
Corynebacterium_variabile,0.23472,0.01693,0.52538,0,0.02087,0.00265,1.1009,0.02741,0,0.61367,1.34759,0.23607,0.67824,0.79653,0.30394,0.18599,1.12317,0.09352,0.07607,0.07813,0.3239,0.11625,0,0,0,0.16999,0.00141,0.05298,0.09055,0.06072,0.78968,0.08875,0,0.15769,1.69239,0.56704,1.09332,0.49134,0.16139,0.48687,0.51235,0
Corynebacterium_xerosis,1.38231,0.45756,2.50943,0.10707,0.3075,0.07217,14.25399,1.07187,0.5205,2.02428,2.27308,14.08087,4.24931,9.03499,3.86926,2.88429,11.66039,7.24692,0.79175,0.93743,2.74982,1.74331,0.13354,0.04761,0.13428,2.59171,0.09182,0.16035,0.90509,1.03381,4.56338,0.96249,0,1.44286,13.98624,5.9623,5.54805,2.20903,0.50429,8.81103,4.9446,0.19837
Kocuria_palustris,0.12561,0.01664,0.59681,0,0.0241,0.00067,0.42002,0.06316,0.00496,0.07794,0.00561,0.43104,0.22575,0.33083,0.22187,0.1115,0.40116,0.25443,0.03033,0.09179,0.13452,0.10065,0.05025,0.01418,0,1.17874,0.00736,0.00308,0.26289,0.10882,0.82107,0.04484,0,0.17798,0.66823,0.55757,0.23296,0.15427,0.04903,0.70705,0.41394,0.02711
Cutibacterium_acnes,0.24459,0.01229,0,4.19938,94.33095,3.9403,21.04149,18.56424,39.60531,57.74064,9.09715,0.00445,0.02381,0.01393,0.06107,0.10896,0.02626,0.25002,91.00764,52.01115,50.24651,49.18968,50.05898,5.03307,30.98542,13.20467,1.97287,3.54731,0.45648,4.98056,3.02164,49.9008,96.32258,6.92621,18.53965,15.6273,22.76936,0.7945,1.21587,0.53605,1.85093,32.28665
