Genes,Type,Class,Mechanism,Group
MEG_293|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_7628|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATE,Drugs,MLS,Streptogramin A O-acetyltransferase,VATE
MEG_2689|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,Metals,Multi-metal resistance,Multi-metal resistance protein,DSBB
MEG_7024|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETA
MEG_5856|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|QACR,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux regulator,QACR
MEG_7415|Drugs|Glycopeptides|VanB-type_resistance_protein|VANHB,Drugs,Glycopeptides,VanB-type resistance protein,VANHB
MEG_914|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_5978|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_1395|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_391|Drugs|betalactams|Class_C_betalactamases|ACC,Drugs,betalactams,Class C betalactamases,ACC
MEG_2452|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSR,Metals,Multi-metal resistance,Multi-metal RND efflux regulator,CUSR
MEG_7236|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW
MEG_83|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_3930|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux regulator,MEXR
MEG_7247|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETZ,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETZ
MEG_4100|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXA,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,MUXA
MEG_2450|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,Metals,Multi-metal resistance,Multi-metal RND efflux pumps,CUSC
MEG_4998|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_4203|Biocides|Paraquat_resistance|Paraquat_resistance_protein|NMPC,Biocides,Paraquat resistance,Paraquat resistance protein,NMPC
MEG_6997|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET44
MEG_5171|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_7032|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETA
MEG_3091|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_2567|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB,Drugs,Trimethoprim,Dihydrofolate reductase,DFRB
MEG_1148|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,Metals,Multi-metal resistance,Multi-metal resistance protein,ARSBM
MEG_949|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_5772|Biocides|Peroxide_resistance|peroxide_resistance_regulator|PERR,Biocides,Peroxide resistance,peroxide resistance regulator,PERR
MEG_7121|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_2702|Biocides|Acid_resistance|Acid_resistance_protein|EEFX,Biocides,Acid resistance,Acid resistance protein,EEFX
MEG_7856|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,Metals,Zinc resistance,Zinc resistance protein,ZNUA
MEG_2493|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,Drugs,Trimethoprim,Dihydrofolate reductase,DFRA
MEG_2742|Drugs|MLS|Macrolide_esterases|EREA,Drugs,MLS,Macrolide esterases,EREA
MEG_4985|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_3434|Drugs|Rifampin|Monooxygenase|IRI,Drugs,Rifampin,Monooxygenase,IRI
MEG_4042|Drugs|MLS|Macrolide_phosphotransferases|MPHE,Drugs,MLS,Macrolide phosphotransferases,MPHE
MEG_4955|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_1682|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CFRA,Drugs,Multi-drug resistance,MDR 23S ribosomal RNA methyltransferase,CFRA
MEG_6509|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|SILS,Metals,Multi-metal resistance,Multi-metal RND efflux regulator,SILS
MEG_761|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_6734|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_5225|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_933|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_830|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_2430|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX
MEG_1645|Drugs|betalactams|Class_A_betalactamases|CEPA,Drugs,betalactams,Class A betalactamases,CEPA
MEG_6140|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS,Biocides,Multi-biocide resistance,Multi-biocide resistance regulator,RPOS
MEG_1440|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_6621|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
MEG_1190|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,Drugs,Bacitracin,Undecaprenyl pyrophosphate phosphatase,BACA
MEG_5758|Drugs|betalactams|Class_A_betalactamases|PER,Drugs,betalactams,Class A betalactamases,PER
MEG_7078|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETG,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETG
MEG_900|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1119|Drugs|Multi-drug_resistance|MDR_regulator|ARLS,Drugs,Multi-drug resistance,MDR regulator,ARLS
MEG_7166|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO
MEG_1920|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_4176|Metals|Nickel_resistance|Nickel_ABC_efflux_regulator|NIKR,Metals,Nickel resistance,Nickel ABC efflux regulator,NIKR
MEG_7042|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETB
MEG_1889|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_2561|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB,Drugs,Trimethoprim,Dihydrofolate reductase,DFRB
MEG_1838|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_7245|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETY,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETY
MEG_4128|Metals|Nickel_resistance|Nickel_MFS_efflux_regulator|NCRYN,Metals,Nickel resistance,Nickel MFS efflux regulator,NCRYN
MEG_4103|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MVRC,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,MVRC
MEG_346|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_808|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_35|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_6679|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_1155|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,Metals,Arsenic resistance,Arsenic resistance protein,ARSC
MEG_699|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEL,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux regulator,ADEL
MEG_4073|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,Drugs,MLS,MLS resistance ABC efflux pumps,MSRD
MEG_7012|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET59,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TET59
MEG_4036|Drugs|MLS|Macrolide_phosphotransferases|MPHC,Drugs,MLS,Macrolide phosphotransferases,MPHC
MEG_2683|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,Metals,Multi-metal resistance,Multi-metal resistance protein,DSBA
MEG_7854|Metals|Zinc_resistance|Zinc_resistance_regulator|ZNTR,Metals,Zinc resistance,Zinc resistance regulator,ZNTR
MEG_3699|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,Drugs,Lipopeptides,Colistin phosphoethanolamine transferase,MCR
