Genes,Type,Plasmid_structural_accessory_genes,Gene_description,Locus,IS_TE_Name,IS_Family,IS_Group,IS_Locus_origin,Bit_score,E_Value
gene:vir:6598,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:10465,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:171872,Prophage,NA,hypothetical protein,Meso_3816,NA,NA,NA,NA,NA,NA
gene:vir:96268,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:172455,Prophage,NA,phage minor tail protein,ECs_1645,NA,NA,NA,NA,NA,NA
gene:proph:184737,Prophage,NA,peptidoglycan DD-metalloendopeptidase family protein,LREU_RS04495,NA,NA,NA,NA,NA,NA
gene:plasmid:119000,Plasmid,Unclassified plasmid gene,None,LSL_RS00330,NA,NA,NA,NA,NA,NA
gene:plasmid:17026,TE,NA,transposase,pLA103_11,ISLmo19,NA,NA,Listeria monocytogenes,38.2,0.01
gene:plasmid:114160,IS,NA,IS100 ORF1,SDY_P159,IS100kyp,IS21,None,Yersinia pseudotuberculosis,1671,0
gene:plasmid:24414,Plasmid,Hypothetical plasmid protein,hypothetical protein,HCM2.0090c,NA,NA,NA,NA,NA,NA
gene:vir:1893,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:155988,IS,NA,hypothetical protein,LV007,ISRaq1,IS3,IS407,Rahnella aquatilis,460,5.00E-130
gene:plasmid:17132,Plasmid,PREPIM,replication protein A,pMD5057_002,NA,NA,NA,NA,NA,NA
gene:vir:4523,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:184713,Prophage,NA,IS21 family transposase,LREU_RS07165,NA,NA,NA,NA,NA,NA
gene:plasmid:135602,Plasmid,PTTREG,tRNA,Sbal_t05,NA,NA,NA,NA,NA,NA
gene:plasmid:25337,Plasmid,Hypothetical plasmid protein,hypothetical protein,pWR501_0211,NA,NA,NA,NA,NA,NA
gene:vir:6522,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:111542,Plasmid,Plasmid biosynthesis_regulatory_enzymes,dihydrofolate reductase,RHA1_RS37735,NA,NA,NA,NA,NA,NA
gene:plasmid:154025,Plasmid ARG,Plasmid ARG,copper-binding protein,SMR0159,NA,NA,NA,NA,NA,NA
gene:plasmid:83181,Plasmid,Plasmid transposition_recombination_integration,resolvase domain-containing protein,Swit_5122,NA,NA,NA,NA,NA,NA
gene:plasmid:139621,Plasmid,Plasmid biosynthesis_regulatory_enzymes,DNA polymerase V subunit UmuC,O2R_125,NA,NA,NA,NA,NA,NA
gene:plasmid:153975,Plasmid,Hypothetical plasmid protein,hypothetical protein,SMR0263,NA,NA,NA,NA,NA,NA
gene:vir:103522,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:29780,Plasmid,Hypothetical plasmid protein,hypothetical protein,pSV2_p052,NA,NA,NA,NA,NA,NA
gene:proph:163172,Prophage,NA,YolD-like family protein,SSP_RS09665,NA,NA,NA,NA,NA,NA
gene:plasmid:14539,Plasmid,Hypothetical plasmid protein,hypothetical protein,CPE_RS00115,NA,NA,NA,NA,NA,NA
gene:plasmid:24433,Plasmid,Hypothetical plasmid protein,hypothetical protein,HCM2.111c,NA,NA,NA,NA,NA,NA
gene:plasmid:151538,Plasmid,PREPIM,rep_pSHaeC01,pSHaeC01,NA,NA,NA,NA,NA,NA
gene:plasmid:93376,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW279b_p05,NA,NA,NA,NA,NA,NA
gene:plasmid:19292,Plasmid,Plasmid relaxase and mobilization machinery,mobA,pIG1_06,NA,NA,NA,NA,NA,NA
gene:plasmid:87392,Plasmid ARG,Plasmid ARG,"regulatory protein, ArsR",SaurJH9_2752,NA,NA,NA,NA,NA,NA
gene:proph:169616,Prophage,NA,hypothetical protein,MGAS9429_Spy0542,NA,NA,NA,NA,NA,NA
gene:plasmid:141248,TE,NA,Transposase,HCM1.240,ISBcl1,NA,NA,Bacillus clausii,42.1,5.00E-04
gene:plasmid:97775,Plasmid,PREPIM,repE,pS194_p4,NA,NA,NA,NA,NA,NA
gene:plasmid:142012,IS,NA,IS911,SBO_P145,IS911,IS3,IS3,Shigella dysenteriae,648,0
gene:plasmid:114177,IS,NA,IS1R,SDY_P078,IS1R,IS1,None,Escherichia coli,726,0
gene:plasmid:88437,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,lac repressor,KPN_pKPN3p05872,NA,NA,NA,NA,NA,NA
gene:plasmid:17103,Plasmid,Hypothetical plasmid protein,hypothetical protein,pKC5b_p2,NA,NA,NA,NA,NA,NA
gene:proph:166951,Prophage,NA,"ss-1,3-N-acetylglucosaminyltransferase",SA1808,NA,NA,NA,NA,NA,NA
